Word	Tag
21	O
Jan	O
""":"""	O
phoned	B-ContType
John	O
S	O
about	O
signing	O
them	O
up	O
for	O
phrase	O
2	O
of	O
project	B-ProjName
alpha	I-ProjName
.	O
22	O
Dec	O
""":"""	O
phone	B-ContType
Sam	O
K	O
about	O
signing	O
them	O
up	O
for	O
phrase	O
3	O
of	O
Project	B-ProjName
Beta	I-ProjName
.	O
22	O
Dec	O
""":"""	O
email	B-ContType
Sam	O
K	O
about	O
signing	O
them	O
up	O
for	O
phase	O
4	O
of	O
Project	B-ProjName
Beta	I-ProjName
.	O
22	O
Dec	O
""":"""	O
mail	B-ContType
Sam	O
K	O
about	O
Project	B-ProjName
Beta	I-ProjName
.	O
meet	B-ContType
Sam	O
B	O
about	O
phase	O
3	O
project	B-ProjName
beta	I-ProjName
on	O
march	O
12	O
.	O
emailed	B-ContType
Mark	O
B	O
about	O
phase	O
3	O
project	B-ProjName
alpha	I-ProjName
on	O
march	O
12	O
.	O
on	O
march	O
12	O
meet	B-ContType
John	O
B	O
for	O
Project	B-ProjName
alpha	I-ProjName
.	O
Dec	O
3	O
phone	B-ContType
Bob	O
K	O
regarding	O
Project	B-ProjName
Echo	I-ProjName
.	O
12	O
June	O
meeting	B-ContType
Tom	O
S	O
for	O
project	B-ProjName
omega	I-ProjName
.	O
met	B-ContType
Tom	O
A	O
on	O
June	O
12	O
for	O
proj	B-ProjName
theta	I-ProjName
.	O
Apr	O
11	O
emailed	B-ContType
Ashleigh	O
K	O
about	O
enrolling	O
in	O
project	B-ProjName
gamma	I-ProjName
.	O
Nov	O
11	O
Ashleigh	O
K	O
called	O
about	O
project	B-ProjName
gamma	I-ProjName
update	O
.	O
Nov	O
11	O
Ashleigh	O
K	O
called	O
about	O
project	B-ProjName
gamma	I-ProjName
update	O
.	O
